# timestamps [seconds],pts
1353.962764,0
1353.963649,57
1353.975856,857
1354.018520,3653
1354.028225,4289
1354.048153,5595
1354.070095,7033
1354.080715,7729
1354.089931,8333
1354.112514,9813
1354.124233,10581
1354.134243,11237
1354.165035,13255
1354.184810,14551
1354.213131,16407
1354.240810,18221
1354.262783,19661
1354.270748,20183
1354.271480,20231
1354.298183,21981
1354.307888,22617
1354.328884,23993
1354.338558,24627
1354.347805,25233
1354.377010,27147
1354.399776,28639
1354.428768,30539
1354.439144,31219
1354.478450,33795
1354.489223,34501
1354.508358,35755
1354.540432,37857
1354.549800,38471
1354.570095,39801
1354.595729,41481
1354.596279,41517
1354.614955,42741
1354.632412,43885
1354.641628,44489
1354.659481,45659
1354.676479,46773
1354.685146,47341
1354.704464,48607
1354.717617,49469
1354.728817,50203
1354.748897,51519
1354.766231,52655
1354.783443,53783
1354.794399,54501
1354.813015,55721
1354.823970,56439
1354.834743,57145
1354.852138,58285
1354.862392,58957
1354.872585,59625
1354.900569,61459
1354.921871,62855
1354.931270,63471
1354.957119,65165
1354.958278,65241
1354.968532,65912
1354.989101,67260
1354.998195,67856
1355.016872,69080
1355.035030,70270
1355.044490,70890
1355.062038,72040
1355.079830,73206
1355.090358,73896
1355.091060,73942
1355.111721,75296
1355.121242,75920
1355.130458,76524
1355.151393,77896
1355.162624,78632
1355.173488,79344
1355.189846,80416
1355.215084,82070
1355.225917,82780
1355.227352,82874
1355.244808,84018
1355.254634,84662
1355.274257,85948
1355.292781,87162
1355.302730,87814
1355.303493,87864
1355.324550,89244
1355.334255,89880
1355.342495,90420
1355.367427,92054
1355.368007,92092
1355.387966,93400
1355.403530,94420
1355.429012,96090
1355.429866,96146
1355.441463,96906
1355.457882,97982
1355.468593,98684
1355.485927,99820
1355.500515,100776
1355.511318,101484
1355.521175,102130
1355.540432,103392
1355.549373,103978
1355.550502,104052
1355.568660,105242
1355.586299,106398
1355.608638,107862
1355.623592,108842
1355.650051,110576
1355.660152,111238
1355.661830,111348
1355.689144,113138
1355.689846,113184
1355.700252,113866
1355.720943,115222
1355.729274,115768
1355.738643,116382
1355.756862,117576
1355.776393,118856
1355.798854,120328
1355.810634,121100
1355.821956,121842
1355.832912,122560
1355.850917,123740
1355.877071,125454
1355.877956,125512
1355.889492,126268
1355.905666,127328
1355.923763,128514
1355.933590,129158
1355.949092,130174
1355.958614,130798
1355.968074,131417
1355.987270,132675
1355.996395,133273
1355.997097,133319
1356.018611,134729
1356.028255,135361
1356.044612,136433
1356.069942,138093
1356.092495,139571
1356.101345,140151
1356.102169,140205
1356.128109,141905
1356.128871,141955
1356.148464,143239
1356.167476,144485
1356.189479,145927
1356.206539,147045
1356.215999,147665
1356.226528,148355
1356.243557,149471
1356.251918,150019
1356.262844,150735
1356.285030,152189
1356.285549,152223
1356.296047,152911
1356.322017,154613
1356.322444,154641
1356.332149,155277
1356.350032,156449
1356.360408,157129
1356.368831,157681
1356.396114,159469
1356.409877,160371
1356.426967,161491
1356.427761,161543
1356.454982,163327
1356.463253,163869
1356.480617,165007
1356.497188,166093
1356.506954,166733
1356.524929,167911
1356.543941,169157
1356.553402,169777
1356.571071,170935
1356.588619,172085
1356.598781,172751
1356.609798,173473
1356.627620,174641
1356.636531,175225
1356.646144,175855
1356.661464,176859
1356.686092,178473
1356.696987,179187
1356.717769,180549
1356.722103,180833
1356.733516,181581
1356.743038,182205
1356.770504,184005
1356.771175,184049
1356.794887,185603
1356.814601,186895
1356.815242,186937
1356.827053,187711
1356.843410,188783
1356.860164,189881
1356.871425,190619
1356.888179,191717
1356.923030,194001
1356.923641,194041
1356.934627,194761
1356.953334,195987
1356.962154,196565
1356.982692,197910
1357.000026,199046
1357.016506,200126
1357.027828,200868
1357.044948,201990
1357.062862,203164
1357.072780,203814
1357.092891,205132
1357.102596,205768
1357.113887,206508
1357.127407,207394
1357.136715,208004
1357.146968,208676
1357.162838,209716
1357.186214,211248
1357.195308,211844
1357.218013,213332
1357.239894,214766
1357.250911,215488
1357.262081,216220
1357.280727,217442
1357.289638,218026
1357.290432,218078
1357.316219,219768
1357.316799,219806
1357.327571,220512
1357.353878,222236
1357.362850,222824
1357.384609,224250
1357.401790,225376
1357.411800,226032
1357.422542,226736
1357.438900,227808
1357.464229,229468
1357.465694,229564
1357.475856,230230
1357.500881,231870
1357.501827,231932
1357.520900,233182
1357.539058,234372
1357.548458,234988
1357.549953,235086
1357.569240,236350
