# timestamps [seconds],pts
12033.919373,0
12033.942788,1534
12033.958772,2581
12033.973123,3522
12033.998551,5188
12034.006181,5688
12034.016534,6367
12034.038506,7807
12034.051568,8663
12034.052102,8698
12034.075379,10223
12034.107881,12353
12034.116883,12943
12034.162133,15909
12034.171105,16497
12034.182282,17229
12034.204484,18684
12034.227288,20179
12034.246339,21427
12034.257211,22140
12034.258103,22198
12034.295220,24631
12034.316445,26022
12034.327592,26752
12034.339585,27538
12034.355203,28562
12034.381089,30258
12034.388810,30764
12034.389687,30822
12034.414224,32430
12034.423768,33055
12034.445847,34502
12034.453263,34988
12034.472947,36278
12034.484879,37060
12034.494935,37719
12034.506280,38462
12034.521134,39436
12034.529221,39966
12034.539422,40634
12034.555581,41693
12034.564134,42254
12034.573975,42899
12034.590150,43959
12034.599336,44561
12034.608155,45139
12034.624879,46235
12034.647691,47730
12034.648652,47793
12034.658921,48466
12034.675034,49522
12034.685014,50176
12034.706902,51610
12034.717988,52337
12034.729943,53120
12034.740861,53836
12034.757203,54907
12034.766343,55506
12034.775216,56087
12034.791619,57162
12034.813958,58626
12034.814439,58658
12034.824204,59298
12034.845078,60666
12034.845750,60710
12034.863435,61869
12034.886575,63385
12034.898072,64139
12034.909448,64884
12034.923142,65781
12034.932053,66365
12034.942704,67063
12034.959069,68136
12034.980882,69565
12034.981446,69602
12034.990960,70226
12035.015084,71807
12035.016023,71868
12035.025063,72461
12035.048142,73973
12035.057549,74590
12035.086709,76501
12035.097955,77238
12035.109666,78005
12035.121179,78760
12035.143098,80196
12035.157952,81170
12035.158791,81225
12035.175797,82339
12035.184808,82930
12035.194955,83595
12035.208238,84465
12035.216515,85008
12035.226533,85664
12035.244019,86810
12035.254929,87525
12035.276658,88949
12035.287698,89673
12035.300080,90484
12035.310388,91160
12035.326653,92226
12035.336564,92875
12035.346063,93498
12035.361146,94486
12035.389413,96339
12035.390061,96381
12035.410943,97750
12035.433610,99235
12035.444657,99959
12035.456757,100752
12035.474679,101926
12035.486123,102676
12035.486772,102719
12035.501862,103708
12035.512017,104373
12035.533799,105801
12035.553574,107097
12035.569276,108126
12035.570306,108193
12035.586900,109281
12035.596047,109880
12035.605355,110490
12035.626634,111885
12035.627137,111918
12035.645547,113124
12035.661179,114149
12035.679246,115333
12035.690614,116078
12035.712647,117522
12035.723618,118241
12035.734780,118972
12035.750192,119982
12035.770570,121318
12035.779618,121911
12035.780274,121954
12035.804627,123550
12035.805283,123593
12035.824433,124848
12035.838662,125780
12035.857461,127012
12035.869172,127780
12035.891221,129225
12035.902665,129975
12035.914018,130719
12035.939286,132374
12035.955789,133456
12035.963998,133994
12035.965150,134069
12035.991692,135809
12035.992272,135847
12036.014810,137324
12036.036302,138732
12036.058488,140186
12036.073945,141199
12036.082780,141778
12036.092439,142411
12036.108300,143451
12036.117402,144047
12036.136689,145311
12036.151887,146307
12036.161714,146951
12036.182305,148301
12036.193795,149054
12036.215325,150465
12036.226380,151189
12036.242112,152220
12036.261758,153508
12036.271012,154114
12036.271653,154156
12036.295884,155744
12036.296616,155792
12036.315553,157033
12036.329987,157979
12036.338502,158537
12036.349374,159250
12036.364961,160271
12036.374467,160894
12036.383653,161496
12036.408097,163098
12036.422501,164042
12036.423333,164096
12036.437043,164995
12036.446374,165606
12036.455316,166192
12036.480866,167867
12036.481393,167901
12036.491181,168543
12036.513360,169996
12036.521661,170540
12036.550118,172405
12036.562058,173188
12036.572671,173883
12036.583634,174602
12036.600930,175735
12036.609879,176322
12036.618928,176915
12036.636155,178044
12036.645547,178659
12036.646600,178728
12036.663255,179820
12036.684197,181192
12036.692925,181764
12036.702905,182418
12036.728761,184113
12036.751328,185592
12036.762872,186348
12036.777924,187335
12036.786126,187872
12036.796700,188565
12036.812089,189574
12036.822534,190258
12036.831460,190843
12036.854272,192338
12036.868409,193265
12036.868951,193300
12036.892472,194842
12036.900750,195384
12036.922250,196793
12036.941445,198051
12036.963548,199499
12036.979928,200573
12036.988397,201128
12036.997353,201715
12037.009675,202522
12037.019540,203169
12037.030435,203883
12037.047715,205015
12037.056344,205581
12037.065370,206172
12037.084672,207437
12037.093591,208022
12037.094949,208111
12037.112229,209243
12037.134515,210704
12037.142510,211228
12037.164414,212663
12037.177880,213546
12037.187783,214195
12037.198785,214916
12037.213799,215900
12037.221856,216428
12037.232194,217105
12037.249101,218213
12037.258828,218851
12037.268113,219459
12037.283669,220479
12037.303063,221750
12037.309525,222173
12037.332253,223663
12037.346528,224598
12037.355294,225173
12037.365800,225861
12037.382050,226926
12037.391679,227557
12037.400742,228151
12037.415803,229138
12037.432832,230254
12037.444322,231007
12037.481332,233432
12037.481751,233460
12037.499894,234649
12037.516946,235766
12037.526421,236387
12037.537721,237128
12037.554704,238241
12037.565102,238922
12037.565911,238975
12037.583093,240101
12037.591172,240631
12037.611321,241951
12037.633538,243407
12037.645226,244173
12037.656503,244912
12037.667504,245633
12037.679299,246406
12037.689813,247095
12037.706803,248209
12037.726212,249481
12037.734933,250052
12037.735955,250119
12037.760583,251733
12037.761430,251789
12037.778909,252934
12037.793221,253872
12037.803124,254521
12037.824189,255902
12037.846551,257367
12037.857316,258073
12037.868607,258813
12037.890252,260231
12037.904672,261176
12037.905221,261212
12037.922875,262369
12037.931893,262960
12037.941674,263601
12037.957902,264664
12037.966462,265225
12037.976167,265861
12037.990495,266800
12037.999452,267387
12038.008973,268011
12038.025880,269119
12038.034158,269662
12038.043557,270278
12038.057313,271179
12038.077935,272531
12038.086244,273075
12038.103135,274182
12038.115624,275001
12038.126252,275697
12038.147263,277074
12038.171464,278660
12038.182115,279358
12038.194497,280170
12038.206559,280960
12038.215257,281530
12038.226029,282236
12038.242639,283325
12038.270379,285143
12038.271211,285197
12038.293061,286629
12038.315255,288084
12038.327027,288855
12038.338105,289581
12038.352647,290534
12038.361802,291134
12038.371766,291787
12038.388360,292875
12038.397408,293468
12038.398049,293510
12038.433839,295855
12038.437730,296110
12038.446664,296695
12038.460175,297581
12038.481263,298963
12038.495179,299875
12038.527604,302000
12038.538873,302738
12038.552575,303636
12038.562379,304279
12038.574281,305059
12038.591210,306168
12038.601067,306814
12038.601708,306856
12038.614198,307675
12038.625451,308412
12038.634316,308993
12038.650826,310075
12038.671983,311462
12038.679917,311982
12038.690858,312699
12038.709939,313949
12038.728516,315167
12038.740197,315932
12038.752290,316725
12038.762101,317368
12038.773431,318110
12038.788621,319106
12038.798196,319733
12038.807420,320338
12038.823449,321388
12038.843301,322689
12038.852502,323292
12038.853173,323336
12038.876901,324891
12038.877648,324940
12038.895905,326137
12038.911401,327152
12038.919763,327700
12038.929292,328324
12038.945489,329386
12038.954926,330004
12038.963738,330582
12038.987100,332113
12039.001725,333071
12039.014932,333937
12039.023110,334473
12039.040978,335644
12039.052400,336392
12039.063302,337107
12039.075051,337877
12039.086259,338611
12039.097436,339344
12039.108605,340076
12039.124093,341091
12039.133668,341718
12039.143250,342346
12039.156930,343243
12039.165399,343798
12039.175568,344464
12039.192017,345542
12039.200463,346096
12039.209573,346693
12039.225892,347762
12039.246835,349135
12039.255700,349716
12039.256608,349775
12039.280259,351325
12039.280816,351362
12039.298097,352494
12039.321092,354001
12039.331925,354711
12039.343705,355483
12039.357018,356356
12039.366242,356960
12039.376244,357616
12039.399819,359161
12039.414445,360119
12039.415345,360178
12039.433320,361356
12039.443131,361999
12039.453866,362702
12039.471742,363874
12039.480386,364440
12039.499352,365683
12039.522157,367178
12039.533677,367933
12039.546029,368742
12039.562394,369815
12039.572305,370464
12039.573106,370517
12039.587060,371431
12039.597459,372113
12039.607934,372799
12039.624993,373917
12039.634248,374524
12039.644502,375196
12039.669969,376865
12039.686280,377934
12039.695191,378518
12039.696351,378594
12039.713525,379719
12039.722794,380327
12039.745080,381787
12039.755944,382499
12039.777978,383943
12039.789216,384680
12039.800546,385422
12039.811898,386166
12039.830483,387384
12039.842622,388180
12039.843240,388220
12039.856881,389114
12039.867577,389815
12039.900811,391993
12039.912103,392733
12039.926339,393666
12039.945344,394911
12039.969773,396512
12039.970452,396557
12039.979653,397160
12040.014131,399419
12040.024697,400112
12040.037476,400949
12040.046418,401535
12040.057984,402293
12040.073808,403330
12040.084069,404003
12040.093209,404602
12040.121018,406424
12040.133759,407259
12040.134644,407317
12040.153237,408536
12040.181168,410366
12040.194337,411229
12040.214219,412532
12040.225442,413268
12040.247651,414723
12040.259019,415468
12040.269868,416179
12040.292191,417642
12040.304231,418431
12040.315179,419149
12040.336488,420545
12040.358758,422005
12040.381844,423518
12040.392976,424247
12040.403802,424957
12040.415070,425695
12040.429742,426656
12040.451425,428077
12040.461480,428736
12040.462373,428795
12040.488671,430518
12040.489526,430574
12040.498895,431188
12040.513551,432149
12040.521668,432681
12040.531091,433298
12040.555459,434895
12040.556069,434935
12040.563729,435437
12040.590905,437218
12040.608453,438368
12040.616761,438913
12040.641206,440515
12040.641816,440555
12040.660920,441807
12040.678307,442946
12040.687379,443541
12040.687943,443578
12040.712823,445208
12040.723710,445922
12040.743203,447199
12040.761674,448410
12040.772592,449125
12040.789544,450236
12040.796891,450718
