# timestamps [seconds],pts
13159.723839,3801
13159.731785,4322
13159.739957,4858
13159.747993,5384
13159.755902,5902
13159.763883,6426
13159.771809,6945
13159.787801,7993
13159.791311,8223
13159.796144,8540
13159.804459,9085
13159.813953,9707
13159.819829,10092
13159.827779,10613
13159.835751,11135
13159.843786,11662
13159.851780,12186
13159.859815,12712
13159.867945,13245
13159.876017,13774
13159.883838,14287
13159.895359,15042
13159.899776,15331
13159.907847,15860
13159.915754,16378
13159.934208,17588
13159.938633,17878
13159.941955,18095
13159.947972,18490
13159.955866,19007
13159.963800,19527
13159.971791,20051
13159.979919,20583
13159.988018,21114
13159.995846,21627
13160.003912,22156
13160.012230,22701
13160.024518,23506
13160.031932,23992
13160.039934,24517
13160.047785,25031
13160.055829,25558
13160.063818,26082
13160.071816,26606
13160.079858,27133
13160.088122,27675
13160.095781,28176
13160.104104,28722
13160.111982,29238
13160.119977,29762
13160.127814,30276
13160.135785,30798
13160.143786,31322
13160.151883,31853
13160.174244,33319
13160.178676,33609
13160.183752,33942
13160.191799,34469
13160.199792,34993
13160.210640,35704
13160.217556,36157
13160.223987,36578
13160.231876,37095
13160.239910,37622
13160.247817,38140
13160.255812,38664
13160.263761,39185
13160.272108,39732
13160.279831,40238
13160.287886,40766
13160.295770,41283
13160.303879,41814
13160.316803,42661
13160.321612,42976
13160.327792,43381
13160.335801,43906
13160.343841,44433
13160.352009,44968
13160.364729,45802
13160.367939,46012
13160.375891,46533
13160.383847,47055
13160.391820,47577
13160.399808,48101
13160.407865,48629
13160.415863,49153
13160.424285,49705
13160.431800,50197
13160.439913,50729
13160.447784,51245
13160.456025,51785
13160.463848,52298
13160.471866,52823
13160.479829,53345
13160.491822,54131
13160.499806,54654
13160.507912,55185
13160.515918,55710
13160.524927,56301
13160.531855,56755
13160.539949,57285
13160.547787,57799
13160.556503,58370
13160.563801,58848
13160.572944,59447
13160.579743,59893
13160.587908,60428
13160.595779,60944
13160.603832,61472
13160.611829,61996
13160.621230,62612
13160.633591,63422
13160.636480,63611
13160.643779,64089
13160.651874,64620
13160.659808,65140
13160.667821,65665
13160.675808,66189
13160.683758,66710
13160.696087,67517
13160.702025,67907
13160.708086,68304
13160.715815,68810
13160.724062,69351
13160.731744,69854
13160.740262,70413
13160.748262,70937
13160.756029,71446
13160.763862,71959
13160.771948,72489
13160.779909,73011
13160.788110,73548
13160.795823,74054
13160.803887,74582
13160.811800,75101
13160.820735,75686
13160.827813,76150
13160.837514,76786
13160.843753,77195
13160.851757,77719
13160.859862,78250
13160.867913,78778
13160.875831,79297
13160.883802,79819
13160.891948,80353
13160.899765,80866
13160.907852,81396
13160.915801,81916
13160.926706,82631
13160.931849,82968
13160.939903,83496
13160.947860,84017
13160.959794,84800
13160.967755,85321
13160.975835,85851
13160.983986,86385
13160.991810,86898
13160.999786,87420
13161.007861,87950
13161.015825,88472
13161.023857,88998
13161.031816,89519
13161.039826,90044
13161.047764,90565
13161.065330,91716
13161.069679,92001
13161.072600,92192
13161.079770,92662
13161.087853,93192
13161.095820,93714
13161.103894,94243
13161.111814,94762
13161.119808,95286
13161.127841,95812
13161.135790,96333
13161.143784,96857
13161.151801,97383
13161.160825,97974
13161.168006,98445
13161.175834,98958
13161.183851,99483
13161.191829,100006
13161.199850,100532
13161.207838,101055
13161.215891,101583
13161.223836,102104
13161.231838,102628
13161.239893,103156
13161.248044,103690
13161.256084,104217
13161.264264,104753
13161.271817,105248
13161.280006,105785
13161.288265,106326
13161.296805,106886
13161.303928,107352
13161.311779,107867
13161.319818,108394
13161.327964,108928
13161.336550,109490
13161.343811,109966
13161.351757,110487
13161.359790,111013
