# timestamps [seconds],pts
4420.248157,0
4420.256610,553
4420.266212,1183
4420.288437,2639
4420.310970,4116
4420.322315,4859
4420.336925,5817
4420.363624,7567
4420.372844,8171
4420.391948,9423
4420.400955,10013
4420.413433,10831
4420.432827,12102
4420.453045,13427
4420.470207,14552
4420.479175,15139
4420.500518,16538
4420.548622,19690
4420.567508,20928
4420.568023,20962
4420.595024,22731
4420.595882,22788
4420.604782,23371
4420.631839,25144
4420.642856,25866
4420.661323,27076
4420.669357,27603
4420.691261,29038
4420.726612,31355
4420.730423,31605
4420.748733,32805
4420.764846,33861
4420.772213,34343
4420.772613,34370
4420.799686,36144
4420.800274,36182
4420.809677,36799
4420.831050,38199
4420.839508,38754
4420.857654,39943
4420.874424,41042
4420.884151,41679
4420.902847,42905
4420.919178,43975
4420.928466,44584
4420.947139,45807
4420.961204,46729
4420.993049,48816
4420.993427,48841
4421.014503,50222
4421.032142,51378
4421.042469,52055
4421.043312,52110
4421.062751,53384
4421.072692,54035
4421.081283,54598
4421.106239,56234
4421.115520,56842
4421.126400,57555
4421.143570,58680
4421.153003,59299
4421.177738,60920
4421.178466,60967
4421.187065,61531
4421.215637,63403
4421.233028,64543
4421.242473,65162
4421.267208,66783
4421.267868,66826
4421.276367,67383
4421.301735,69046
4421.309677,69566
4421.338607,71462
4421.355049,72540
4421.363811,73114
4421.371830,73639
4421.390892,74889
4421.400791,75537
4421.401344,75574
4421.419380,76756
4421.428333,77342
4421.439128,78050
4421.464008,79680
4421.481319,80815
4421.490989,81449
4421.491947,81511
4421.508331,82585
4421.539367,84619
4421.551105,85388
4421.567272,86448
4421.577434,87114
4421.588054,87810
4421.607490,89083
4421.615776,89626
4421.616451,89671
4421.632084,90695
4421.656780,92314
4421.665676,92897
4421.684791,94149
4421.701973,95275
4421.711357,95890
4421.712200,95946
4421.738411,97663
4421.738830,97691
4421.747615,98267
4421.765762,99456
4421.776100,100133
4421.784893,100709
4421.807209,102172
4421.819175,102956
4421.830074,103670
4421.844074,104588
4421.865371,105984
4421.876007,106681
4421.900608,108293
4421.901023,108320
4421.919674,109542
4421.941196,110953
4421.941631,110981
4421.964027,112449
4421.981304,113581
4421.989544,114121
4421.990127,114160
4422.015461,115820
4422.024356,116403
4422.033268,116987
4422.059120,118681
4422.077140,119862
4422.087520,120542
4422.112041,122149
4422.112434,122175
4422.131492,123424
4422.154346,124922
4422.155159,124975
4422.175945,126337
4422.198494,127815
4422.209591,128542
4422.220749,129273
4422.236515,130307
4422.256836,131638
4422.257335,131671
4422.267467,132335
4422.291359,133901
4422.292022,133944
4422.310665,135166
4422.333030,136632
4422.344154,137361
4422.354770,138056
4422.368892,138982
4422.378204,139592
4422.388614,140274
4422.412857,141863
4422.427986,142855
4422.428501,142888
4422.447948,144163
4422.456417,144718
4422.466835,145401
4422.499878,147566
4422.511856,148351
4422.533290,149756
4422.549144,150795
4422.558246,151391
4422.567009,151965
4422.586074,153215
4422.593605,153708
4422.611679,154893
4422.626388,155857
4422.656227,157812
4422.656650,157840
4422.679092,159311
4422.694179,160300
4422.703449,160907
4422.712211,161481
4422.729740,162630
4422.738090,163177
4422.756721,164398
4422.773025,165467
4422.781097,165996
4422.801319,167321
4422.817932,168410
4422.834926,169523
4422.846241,170265
4422.862575,171335
4422.880134,172486
4422.891365,173222
4422.905056,174119
4422.935550,176118
4422.936096,176154
4422.958316,177610
4422.981453,179126
4422.993312,179903
4423.004718,180651
4423.019710,181633
4423.029701,182288
4423.030285,182326
4423.054340,183903
4423.055008,183946
4423.063793,184522
4423.098262,186781
4423.103035,187094
4423.132236,189008
4423.132679,189037
4423.148155,190051
4423.158363,190720
4423.176319,191897
4423.192264,192942
4423.214923,194427
4423.230777,195466
4423.240181,196082
4423.250469,196756
4423.267360,197863
4423.275154,198374
4423.276050,198432
4423.303726,200246
4423.315170,200996
4423.323227,201524
4423.341602,202728
4423.349670,203257
4423.371490,204687
4423.388736,205817
4423.396846,206349
4423.397567,206396
4423.422939,208059
4423.423908,208122
4423.432758,208702
4423.458583,210395
4423.468212,211026
4423.493892,212709
4423.507915,213628
4423.529087,215015
4423.539371,215689
4423.540023,215732
4423.563675,217282
4423.564197,217316
4423.583412,218575
4423.598865,219588
4423.609024,220254
4423.618156,220852
4423.633045,221828
4423.642627,222456
4423.652126,223079
4423.674842,224567
4423.689865,225552
4423.690479,225592
4423.709377,226831
4423.717704,227376
4423.727142,227995
4423.739750,228821
4423.747608,229336
4423.756546,229922
4423.778541,231363
4423.795810,232495
4423.817787,233935
4423.829811,234723
4423.841472,235487
4423.851623,236153
4423.867530,237195
4423.877155,237826
4423.886699,238451
4423.901744,239437
4423.925682,241006
4423.934421,241579
4423.935039,241619
4423.961887,243379
4423.970905,243970
4423.980655,244609
4424.002617,246048
4424.011287,246616
4424.041549,248599
4424.057388,249637
4424.065719,250183
4424.075073,250796
4424.089534,251744
4424.111805,253204
4424.120647,253783
4424.121181,253818
4424.147686,255555
4424.148372,255600
4424.160675,256406
4424.178463,257572
4424.187683,258176
4424.198108,258860
4424.223091,260497
4424.223461,260521
4424.235405,261304
4424.262039,263049
4424.271156,263647
4424.280571,264264
4424.294559,265180
4424.327205,267320
4424.334583,267803
4424.362796,269652
4424.374275,270405
4424.383705,271023
4424.392269,271584
4424.415073,273078
4424.415790,273125
4424.433582,274291
4424.453533,275599
4424.461811,276141
4424.471332,276765
4424.493198,278198
4424.493690,278231
4424.510574,279337
4424.524952,280279
