# timestamps [seconds],pts
909.171653,0
909.193839,1453
909.236415,4244
909.245410,4833
909.265471,6148
909.284263,7379
909.308505,8968
909.327445,10209
909.338866,10958
909.365294,12690
909.366561,12773
909.387603,14152
909.404399,15253
909.411857,15741
909.413077,15821
909.435191,17270
909.444705,17894
909.452891,18430
909.493132,21068
909.518699,22743
909.520106,22835
909.548091,24669
909.559226,25399
909.579509,26728
909.588756,27334
909.596579,27847
909.624747,29693
909.637282,30515
909.655253,31692
909.687762,33823
909.696238,34378
909.719619,35910
909.747344,37727
909.769366,39171
909.779319,39823
909.789153,40467
909.816855,42283
909.817763,42342
909.828105,43020
909.857467,44944
909.882579,46590
909.891143,47151
909.908641,48298
909.926589,49474
909.935355,50049
909.936339,50113
909.966556,52093
909.967334,52144
909.975760,52697
910.002688,54461
910.003501,54515
910.022376,55752
910.046340,57322
910.046859,57356
910.064307,58500
910.091685,60294
910.112723,61673
910.121745,62264
910.122596,62320
910.150298,64135
910.151229,64196
910.173057,65626
910.198764,67311
910.210055,68051
910.228671,69271
910.239581,69986
910.240268,70031
910.263053,71524
910.276339,72395
910.287421,73121
910.303729,74190
910.328887,75839
910.338069,76441
910.362700,78055
910.370692,78579
910.388530,79748
910.414657,81460
910.415408,81509
910.433982,82726
910.459739,84414
910.460582,84469
910.478545,85647
910.503009,87250
910.503768,87300
910.522605,88534
910.547664,90176
910.548537,90234
910.567401,91470
910.595942,93340
910.617186,94733
910.617888,94779
910.648448,96781
910.658187,97420
910.682471,99011
910.683036,99048
910.701259,100242
910.724666,101776
910.725280,101816
910.746005,103175
910.769538,104717
910.779540,105372
910.791243,106139
910.817778,107878
910.839789,109321
910.848323,109880
910.852107,110128
910.876098,111700
910.877379,111784
910.906100,113667
910.915099,114256
910.947638,116389
910.958823,117122
910.969363,117812
910.984988,118836
911.009616,120450
911.018184,121012
911.018939,121061
911.042758,122622
911.043651,122681
911.063990,124014
911.074469,124701
911.083388,125285
911.106784,126818
911.125697,128058
911.137446,128828
911.161029,130373
911.170161,130972
911.182147,131757
911.206969,133384
911.208125,133460
911.226664,134675
911.242839,135735
911.266299,137272
911.275790,137894
911.300654,139524
911.301703,139592
911.312549,140303
911.331492,141545
911.340957,142165
911.350623,142798
