# timestamps [seconds],pts
3804.235783,0
3804.236698,59
3804.249516,899
3804.268894,2169
3804.277806,2753
3804.288120,3429
3804.311711,4975
3804.328648,6085
3804.340733,6877
3804.372639,8968
3804.373463,9022
3804.382038,9584
3804.396687,10544
3804.420307,12092
3804.429173,12673
3804.451588,14142
3804.470402,15375
3804.479801,15991
3804.480763,16054
3804.499363,17273
3804.509068,17909
3804.530140,19290
3804.547001,20395
3804.556065,20989
3804.556767,21035
3804.593723,23457
3804.602650,24042
3804.613346,24743
3804.647907,27008
3804.657108,27611
3804.675297,28803
3804.692967,29961
3804.708348,30969
3804.719425,31695
3804.737934,32908
3804.746494,33469
3804.764942,34678
3804.782459,35826
3804.809635,37607
3804.817188,38102
3804.827763,38795
3804.844273,39877
3804.853428,40477
3804.875950,41953
3804.900730,43577
3804.910267,44202
3804.926441,45262
3804.935124,45831
3804.954212,47082
3804.979695,48752
3804.997456,49916
3805.006520,50510
3805.024815,51709
3805.033528,52280
3805.065632,54384
3805.088703,55896
3805.110600,57331
3805.132481,58765
3805.144047,59523
3805.155430,60269
3805.177342,61705
3805.189198,62482
3805.199986,63189
3805.224110,64770
3805.246006,66204
3805.258640,67032
3805.275334,68126
3805.305683,70115
3805.306400,70162
3805.316746,70840
3805.341587,72468
3805.342426,72523
3805.353062,73220
3805.379917,74980
3805.390248,75657
3805.412388,77108
3805.430546,78298
3805.440678,78962
3805.441883,79041
3805.461613,80334
3805.469395,80844
3805.479328,81495
3805.505299,83197
3805.523380,84382
3805.532566,84984
3805.534184,85090
3805.551975,86256
3805.579518,88061
3805.591023,88815
3805.608143,89937
3805.616566,90489
3805.617390,90543
3805.643147,92231
3805.644108,92294
3805.653629,92918
3805.679463,94611
3805.697804,95813
3805.705982,96349
3805.730152,97933
3805.731053,97992
3805.747318,99058
3805.773991,100806
3805.791813,101974
3805.808048,103038
3805.816364,103583
3805.826084,104220
3805.843464,105359
3805.852162,105929
3805.861012,106509
3805.878025,107624
3805.886723,108194
3805.887531,108247
3805.914051,109985
3805.932224,111176
3805.941471,111782
3805.964283,113277
3805.982075,114443
3805.997914,115481
3806.006672,116055
