index,timestamp,label,duration,id,objectType
175,22299.522142688995,Experiment Started,0.0,,
437,22303.534044544464,Spawning,0.0,1,Obstacle
454,22304.19114903665,Looking At,0.0,1,Obstacle
456,22304.246416370635,Looking At,0.0,1,Obstacle
456,22304.256212513214,Looking At,0.0,1,Obstacle
457,22304.28946141458,Looking At,0.0,1,Obstacle
458,22304.326662342315,Looking At,0.0,1,Obstacle
469,22304.733217518096,Looking At,0.0,1,Obstacle
470,22304.758486072784,Looking At,0.0,1,Obstacle
470,22304.780489246612,Looking At,0.0,1,Obstacle
471,22304.80378941751,Looking At,0.0,1,Obstacle
472,22304.83018712259,Looking At,0.0,1,Obstacle
474,22304.86725072122,Looking At,0.0,1,Obstacle
475,22304.894213001495,Looking At,0.0,1,Obstacle
475,22304.90359715677,Looking At,0.0,1,Obstacle
476,22304.927278797393,Looking At,0.0,1,Obstacle
477,22304.955126087432,Looking At,0.0,1,Obstacle
478,22304.98953465677,Looking At,0.0,1,Obstacle
480,22305.031465809112,Looking At,0.0,1,Obstacle
480,22305.043337147003,Looking At,0.0,1,Obstacle
482,22305.068712513214,Looking At,0.0,1,Obstacle
483,22305.088869373565,Looking At,0.0,1,Obstacle
484,22305.098284046417,Looking At,0.0,1,Obstacle
485,22305.1193716929,Looking At,0.0,1,Obstacle
486,22305.144838611846,Looking At,0.0,1,Obstacle
487,22305.161943714385,Looking At,0.0,1,Obstacle
488,22305.183321277862,Looking At,0.0,1,Obstacle
495,22305.411440174346,Looking At,0.0,1,Obstacle
496,22305.422655384307,Looking At,0.0,1,Obstacle
496,22305.441561023956,Looking At,0.0,1,Obstacle
497,22305.467653553253,Looking At,0.0,1,Obstacle
499,22305.486864368682,Looking At,0.0,1,Obstacle
500,22305.501421253448,Looking At,0.0,1,Obstacle
501,22305.522478382354,Looking At,0.0,1,Obstacle
502,22305.54303197122,Looking At,0.0,1,Obstacle
502,22305.543901722198,Spawning,0.0,2,Obstacle
503,22305.562654773956,Looking At,0.0,1,Obstacle
503,22305.589845936065,Looking At,0.0,1,Obstacle
505,22305.60997227884,Looking At,0.0,1,Obstacle
506,22305.64038304544,Looking At,0.0,1,Obstacle
507,22305.66839818216,Looking At,0.0,1,Obstacle
507,22305.678438465362,Looking At,0.0,1,Obstacle
509,22305.75006322122,Looking At,0.0,1,Obstacle
510,22305.77954320169,Looking At,0.0,1,Obstacle
511,22305.815614979034,Looking At,0.0,1,Obstacle
512,22305.822756092315,Looking At,0.0,1,Obstacle
513,22305.84207371927,Looking At,0.0,1,Obstacle
513,22305.853212635284,Looking At,0.0,1,Obstacle
514,22305.881304065948,Looking At,0.0,1,Obstacle
516,22305.914186756378,Looking At,0.0,1,Obstacle
516,22305.930300037628,Looking At,0.0,1,Obstacle
517,22305.946901600128,Looking At,0.0,1,Obstacle
522,22306.090288440948,Intercepted,0.0,1,Obstacle
531,22306.278978626495,Looking At,0.0,2,Obstacle
532,22306.30330113626,Looking At,0.0,2,Obstacle
534,22306.341829578643,Looking At,0.0,2,Obstacle
535,22306.354173938995,Looking At,0.0,2,Obstacle
536,22306.37576512552,Looking At,0.0,2,Obstacle
537,22306.38942174173,Looking At,0.0,2,Obstacle
537,22306.41202000833,Looking At,0.0,2,Obstacle
538,22306.435106556182,Looking At,0.0,2,Obstacle
540,22306.4854453013,Looking At,0.0,2,Obstacle
545,22306.627626697784,Looking At,0.0,2,Obstacle
557,22306.90680150247,Looking At,0.0,2,Obstacle
558,22306.919420521026,Looking At,0.0,2,Obstacle
559,22306.971407215362,Looking At,0.0,2,Obstacle
560,22307.00172642923,Looking At,0.0,2,Obstacle
562,22307.045442859893,Looking At,0.0,2,Obstacle
571,22307.23478917337,Looking At,0.0,2,Obstacle
572,22307.261369983917,Looking At,0.0,2,Obstacle
572,22307.274095813995,Looking At,0.0,2,Obstacle
573,22307.322572986846,Looking At,0.0,2,Obstacle
574,22307.34010533548,Looking At,0.0,2,Obstacle
575,22307.363893787628,Looking At,0.0,2,Obstacle
576,22307.402361194854,Looking At,0.0,2,Obstacle
577,22307.430315296417,Looking At,0.0,2,Obstacle
579,22307.45710973001,Looking At,0.0,2,Obstacle
580,22307.47352818704,Looking At,0.0,2,Obstacle
581,22307.494829456573,Looking At,0.0,2,Obstacle
583,22307.562532703643,Spawning,0.0,3,Obstacle
588,22307.723940174346,Intercepted,0.0,2,Obstacle
607,22308.21020726419,Looking At,0.0,3,Obstacle
608,22308.236345569854,Looking At,0.0,3,Obstacle
610,22308.265138904815,Looking At,0.0,3,Obstacle
610,22308.27594212747,Looking At,0.0,3,Obstacle
611,22308.296373646026,Looking At,0.0,3,Obstacle
612,22308.311235706573,Looking At,0.0,3,Obstacle
612,22308.333009998565,Looking At,0.0,3,Obstacle
613,22308.35620335794,Looking At,0.0,3,Obstacle
614,22308.385134022003,Looking At,0.0,3,Obstacle
615,22308.400545398956,Looking At,0.0,3,Obstacle
623,22308.607378284698,Looking At,0.0,3,Obstacle
624,22308.63565282083,Looking At,0.0,3,Obstacle
625,22308.647096912628,Looking At,0.0,3,Obstacle
626,22308.659380237823,Looking At,0.0,3,Obstacle
628,22308.69212559915,Looking At,0.0,3,Obstacle
629,22308.7022421763,Looking At,0.0,3,Obstacle
630,22308.724138538604,Looking At,0.0,3,Obstacle
630,22308.752916614776,Looking At,0.0,3,Obstacle
631,22308.771196644073,Looking At,0.0,3,Obstacle
634,22308.80897740579,Looking At,0.0,3,Obstacle
634,22308.828157703643,Looking At,0.0,3,Obstacle
635,22308.83827428079,Looking At,0.0,3,Obstacle
636,22308.862261097198,Looking At,0.0,3,Obstacle
637,22308.902834217315,Looking At,0.0,3,Obstacle
638,22308.936357776885,Looking At,0.0,3,Obstacle
639,22308.966295521026,Looking At,0.0,3,Obstacle
639,22308.974336902862,Looking At,0.0,3,Obstacle
640,22309.015505115753,Looking At,0.0,3,Obstacle
641,22309.026811878448,Looking At,0.0,3,Obstacle
642,22309.06308202005,Looking At,0.0,3,Obstacle
646,22309.118608753448,Looking At,0.0,3,Obstacle
646,22309.126314441924,Looking At,0.0,3,Obstacle
652,22309.302400867706,Looking At,0.0,3,Obstacle
654,22309.35508946634,Looking At,0.0,3,Obstacle
655,22309.38699559427,Looking At,0.0,3,Obstacle
655,22309.395143787628,Looking At,0.0,3,Obstacle
656,22309.422167103057,Looking At,0.0,3,Obstacle
657,22309.441576282745,Looking At,0.0,3,Obstacle
658,22309.45924596048,Looking At,0.0,3,Obstacle
659,22309.473284046417,Looking At,0.0,3,Obstacle
660,22309.49598912454,Looking At,0.0,3,Obstacle
662,22309.53065709329,Looking At,0.0,3,Obstacle
663,22309.540361683135,Looking At,0.0,3,Obstacle
664,22309.561083118682,Looking At,0.0,3,Obstacle
665,22309.596498768096,Looking At,0.0,3,Obstacle
665,22309.59706334329,Spawning,0.0,4,Obstacle
666,22309.618807117706,Looking At,0.0,3,Obstacle
671,22309.772814075714,Looking At,0.0,3,Obstacle
672,22309.793016712432,Looking At,0.0,3,Obstacle
672,22309.815721790557,Looking At,0.0,3,Obstacle
674,22309.850923816924,Looking At,0.0,3,Obstacle
675,22309.86468724466,Looking At,0.0,3,Obstacle
683,22310.046221058135,Intercepted,0.0,3,Obstacle
725,22310.981584827667,Looking At,0.0,4,Obstacle
726,22311.009157459503,Looking At,0.0,4,Obstacle
728,22311.042467396026,Looking At,0.0,4,Obstacle
729,22311.052370350128,Looking At,0.0,4,Obstacle
730,22311.072084705596,Looking At,0.0,4,Obstacle
730,22311.09935216165,Looking At,0.0,4,Obstacle
732,22311.112947742706,Looking At,0.0,4,Obstacle
734,22311.131792347198,Looking At,0.0,4,Obstacle
734,22311.142259876495,Looking At,0.0,4,Obstacle
735,22311.15468053079,Looking At,0.0,4,Obstacle
737,22311.171572010284,Looking At,0.0,4,Obstacle
737,22311.182634632354,Looking At,0.0,4,Obstacle
738,22311.192552845245,Looking At,0.0,4,Obstacle
740,22311.219194690948,Looking At,0.0,4,Obstacle
740,22311.23773411966,Looking At,0.0,4,Obstacle
741,22311.24991063333,Looking At,0.0,4,Obstacle
742,22311.258913318878,Looking At,0.0,4,Obstacle
742,22311.2754843638,Looking At,0.0,4,Obstacle
743,22311.28476170755,Looking At,0.0,4,Obstacle
745,22311.297838489776,Looking At,0.0,4,Obstacle
746,22311.311723987823,Looking At,0.0,4,Obstacle
747,22311.32200841165,Looking At,0.0,4,Obstacle
748,22311.334963123565,Looking At,0.0,4,Obstacle
749,22311.349336902862,Looking At,0.0,4,Obstacle
749,22311.360399524932,Looking At,0.0,4,Obstacle
750,22311.370287220245,Looking At,0.0,4,Obstacle
751,22311.383653919464,Looking At,0.0,4,Obstacle
752,22311.400026600128,Looking At,0.0,4,Obstacle
754,22311.422884266143,Looking At,0.0,4,Obstacle
762,22311.540331165557,Looking At,0.0,4,Obstacle
762,22311.550096790557,Looking At,0.0,4,Obstacle
764,22311.571275989776,Looking At,0.0,4,Obstacle
765,22311.58619908548,Looking At,0.0,4,Obstacle
765,22311.58683995462,Spawning,0.0,5,Obstacle
766,22311.597185413604,Looking At,0.0,4,Obstacle
767,22311.610811512237,Looking At,0.0,4,Obstacle
768,22311.629518787628,Looking At,0.0,4,Obstacle
769,22311.64019993997,Looking At,0.0,4,Obstacle
769,22311.6543906138,Looking At,0.0,4,Obstacle
770,22311.669466297393,Looking At,0.0,4,Obstacle
770,22311.67895726419,Looking At,0.0,4,Obstacle
771,22311.69330052591,Looking At,0.0,4,Obstacle
772,22311.722154896026,Looking At,0.0,4,Obstacle
773,22311.739427845245,Looking At,0.0,4,Obstacle
774,22311.766405384307,Looking At,0.0,4,Obstacle
776,22311.791963855987,Looking At,0.0,4,Obstacle
777,22311.80493382669,Looking At,0.0,4,Obstacle
778,22311.82400731302,Looking At,0.0,4,Obstacle
779,22311.833971302276,Looking At,0.0,4,Obstacle
780,22311.8420279429,Looking At,0.0,4,Obstacle
781,22311.859819690948,Looking At,0.0,4,Obstacle
782,22311.86955479837,Looking At,0.0,4,Obstacle
782,22311.877886097198,Looking At,0.0,4,Obstacle
782,22311.88971165872,Looking At,0.0,4,Obstacle
783,22311.901857654815,Looking At,0.0,4,Obstacle
783,22311.916521351104,Looking At,0.0,4,Obstacle
783,22311.926454822784,Looking At,0.0,4,Obstacle
784,22311.93579320169,Looking At,0.0,4,Obstacle
785,22311.94897679544,Looking At,0.0,4,Obstacle
787,22311.97879246927,Looking At,0.0,4,Obstacle
787,22311.99095372415,Looking At,0.0,4,Obstacle
788,22312.00416783548,Looking At,0.0,4,Obstacle
791,22312.040025989776,Intercepted,0.0,4,Obstacle
819,22312.437837879424,Looking At,0.0,5,Obstacle
819,22312.446993152862,Looking At,0.0,5,Obstacle
819,22312.455248157745,Looking At,0.0,5,Obstacle
820,22312.464891712432,Looking At,0.0,5,Obstacle
820,22312.4805624888,Looking At,0.0,5,Obstacle
821,22312.494661609893,Looking At,0.0,5,Obstacle
822,22312.505342762237,Looking At,0.0,5,Obstacle
823,22312.517702381378,Looking At,0.0,5,Obstacle
824,22312.532579700714,Looking At,0.0,5,Obstacle
825,22312.54207066751,Looking At,0.0,5,Obstacle
826,22312.55493382669,Looking At,0.0,5,Obstacle
827,22312.570833484893,Looking At,0.0,5,Obstacle
828,22312.580568592315,Looking At,0.0,5,Obstacle
829,22312.59511021829,Looking At,0.0,5,Obstacle
831,22312.62880162454,Looking At,0.0,5,Obstacle
831,22312.639665882354,Looking At,0.0,5,Obstacle
832,22312.648729603057,Looking At,0.0,5,Obstacle
833,22312.660692493682,Looking At,0.0,5,Obstacle
834,22312.673174183135,Looking At,0.0,5,Obstacle
835,22312.683306019073,Looking At,0.0,5,Obstacle
836,22312.695040027862,Looking At,0.0,5,Obstacle
837,22312.708299915557,Looking At,0.0,5,Obstacle
838,22312.71739415384,Looking At,0.0,5,Obstacle
839,22312.731935779815,Looking At,0.0,5,Obstacle
840,22312.74177769876,Looking At,0.0,5,Obstacle
841,22312.75071934915,Looking At,0.0,5,Obstacle
842,22312.76280431009,Looking At,0.0,5,Obstacle
843,22312.77710179544,Looking At,0.0,5,Obstacle
844,22312.787294666534,Looking At,0.0,5,Obstacle
845,22312.801927845245,Looking At,0.0,5,Obstacle
847,22312.833193104034,Looking At,0.0,5,Obstacle
847,22312.843447010284,Looking At,0.0,5,Obstacle
848,22312.85135106302,Looking At,0.0,5,Obstacle
848,22312.86433629251,Looking At,0.0,5,Obstacle
849,22312.880693714385,Looking At,0.0,5,Obstacle
850,22312.89004735208,Looking At,0.0,5,Obstacle
851,22312.90455846048,Looking At,0.0,5,Obstacle
852,22312.914217273956,Looking At,0.0,5,Obstacle
853,22312.935991565948,Looking At,0.0,5,Obstacle
853,22312.94586400247,Looking At,0.0,5,Obstacle
853,22312.960802356964,Looking At,0.0,5,Obstacle
854,22312.975298206573,Looking At,0.0,5,Obstacle
856,22312.98886327005,Looking At,0.0,5,Obstacle
857,22313.003893177276,Looking At,0.0,5,Obstacle
858,22313.0166953013,Looking At,0.0,5,Obstacle
858,22313.028841297393,Looking At,0.0,5,Obstacle
859,22313.058061878448,Looking At,0.0,5,Obstacle
859,22313.06912450052,Looking At,0.0,5,Obstacle
