# timestamps [seconds],pts
8163.459826,0
8163.495888,2363
8163.496996,2435
8163.527420,4429
8163.528569,4505
8163.559985,6563
8163.560746,6613
8163.584220,8152
8163.609323,9797
8163.616700,10280
8163.647903,12325
8163.648473,12362
8163.656710,12902
8163.672969,13968
8163.688338,14975
8163.721164,17126
8163.737099,18171
8163.761505,19770
8163.806538,22721
8163.828642,24170
8163.872786,27063
8163.873156,27087
8163.895367,28543
8163.939944,31464
8163.940391,31493
8163.966239,33187
8163.984531,34386
8164.050531,38711
8164.051314,38763
8164.063307,39549
8164.107925,42473
8164.108365,42502
8164.129737,43902
8164.181756,47311
8164.182254,47344
8164.197084,48316
8164.250205,51797
8164.250877,51841
8164.264711,52748
8164.284062,54016
8164.311594,55820
8164.320719,56418
8164.350967,58400
8164.367399,59477
8164.368019,59518
8164.377018,60108
8164.408835,62193
8164.409640,62246
8164.418120,62801
8164.435138,63917
8164.444284,64516
8164.465192,65886
8164.480931,66918
8164.500769,68218
8164.518231,69362
8164.518852,69403
8164.554255,71723
8164.579701,73391
8164.612409,75534
8164.622110,76170
8164.622711,76209
8164.655377,78350
8164.663481,78881
8164.689417,80581
8164.714418,82219
8164.724545,82883
8164.751621,84657
8164.759386,85166
8164.777934,86382
8164.794165,87445
8164.814258,88762
8164.833908,90050
8164.849527,91074
8164.859028,91696
8164.881173,93148
8164.881719,93183
8164.923113,95896
8164.923626,95930
8164.961766,98429
8164.977461,99458
8164.987333,100105
8165.004897,101256
8165.013681,101831
8165.023819,102496
8165.049062,104150
8165.050072,104216
8165.058113,104743
8165.091786,106950
8165.101214,107568
8165.109271,108096
8165.126088,109198
8165.137845,109969
8165.146358,110526
8165.168775,111995
8165.182538,112897
8165.183658,112971
8165.215314,115045
8165.225284,115699
8165.225829,115735
8165.258069,117847
8165.258569,117880
8165.269506,118597
8165.295358,120291
8165.307889,121112
8165.318019,121776
8165.331958,122690
8165.352853,124059
8165.361013,124594
8165.387368,126321
8165.395600,126861
8165.403890,127404
8165.436589,129547
8165.451318,130512
8165.452272,130574
8165.479020,132327
8165.494821,133363
8165.495950,133437
8165.539905,136317
8165.553994,137241
8165.577336,138771
8165.594232,139878
8165.601607,140361
8165.625022,141896
8165.625424,141922
8165.641078,142948
8165.661826,144308
8165.682033,145632
8165.698909,146738
8165.699615,146784
8165.728156,148655
8165.752452,150247
8165.770522,151431
8165.778630,151962
8165.808061,153891
8165.817254,154494
8165.848115,156516
8165.863175,157503
8165.864102,157564
8165.875459,158308
8165.891837,159381
8165.899547,159887
8165.913352,160791
8165.936582,162314
8165.943946,162796
8165.951846,163314
8165.982465,165321
8165.989598,165788
8165.997758,166323
8166.029445,168399
8166.045709,169465
8166.052472,169909
8166.084519,172009
8166.084912,172035
8166.115169,174017
8166.129218,174938
8166.129680,174968
8166.151679,176410
8166.170970,177674
8166.178605,178175
8166.187259,178742
8166.217378,180716
8166.229484,181509
