# timestamps [seconds],pts
11232.712760,0
11232.739684,1764
11232.756072,2838
11232.790686,5106
11232.791747,5176
11232.815733,6748
11232.817099,6837
11232.846884,8789
11232.868521,10207
11232.891013,11681
11232.900145,12280
11232.908690,12840
11232.947310,15371
11232.968863,16783
11232.989958,18166
11232.991393,18260
11233.001257,18906
11233.019538,20104
11233.053824,22351
11233.063040,22955
11233.079321,24022
11233.112441,26193
11233.121848,26809
11233.131407,27436
11233.151839,28775
11233.159743,29293
11233.169165,29910
11233.184447,30912
11233.203208,32141
11233.215529,32948
11233.215979,32978
11233.242529,34718
11233.243537,34784
11233.252455,35368
11233.277785,37028
11233.297247,38304
11233.310668,39183
11233.331320,40537
11233.345107,41440
11233.354437,42052
11233.371291,43156
11233.379004,43662
11233.386572,44158
11233.411383,45784
11233.412077,45829
11233.422286,46498
11233.440589,47698
11233.448805,48236
11233.471068,49695
11233.488959,50868
11233.489409,50897
11233.498702,51506
11233.519469,52867
11233.526930,53356
11233.537688,54061
11233.552023,55001
11233.574194,56454
11233.594000,57752
11233.611945,58928
11233.628867,60037
11233.629561,60082
11233.647360,61249
11233.663245,62290
11233.680480,63419
11233.688613,63952
11233.703612,64935
11233.713805,65603
11233.722479,66171
11233.745070,67652
11233.759665,68608
11233.769042,69223
11233.787695,70445
11233.795622,70965
11233.820159,72573
11233.833891,73473
11233.845084,74206
11233.862212,75329
11233.885115,76830
11233.893576,77384
11233.905722,78180
11233.923705,79359
11233.933615,80008
11233.946982,80884
11233.963362,81958
11233.973448,82619
11233.980704,83094
11233.998572,84265
11234.006133,84761
11234.016730,85455
11234.045493,87340
11234.064795,88605
11234.081282,89686
11234.096282,90669
11234.105238,91256
11234.114585,91868
11234.129660,92856
11234.139922,93529
11234.148177,94070
11234.165816,95226
11234.174605,95802
11234.182364,96310
11234.205519,97828
11234.214667,98427
11234.230277,99450
11234.259688,101377
11234.267119,101864
11234.297507,103856
11234.317122,105141
11234.317618,105174
11234.333647,106224
11234.350722,107343
11234.372527,108772
11234.380461,109292
11234.389136,109861
11234.412985,111424
11234.413527,111459
11234.422293,112034
11234.446501,113620
11234.447104,113660
11234.455359,114201
11234.479445,115779
11234.480399,115842
11234.489363,116429
11234.526625,118871
