# timestamps [seconds],pts
9217.919457,0
9217.920021,36
9217.945961,1736
9217.946457,1769
9217.979935,3963
9217.988854,4547
9217.996903,5075
9218.019859,6579
9218.027107,7054
9218.046692,8338
9218.083840,10772
9218.098061,11704
9218.129357,13755
9218.139847,14443
9218.186089,17473
9218.212433,19200
9218.230675,20395
9218.247238,21481
9218.279869,23619
9218.287850,24142
9218.297394,24768
9218.320702,26295
9218.327721,26755
9218.351639,28323
9218.379738,30164
9218.381081,30252
9218.389786,30823
9218.409081,32087
9218.427384,33286
9218.445854,34497
9218.454750,35080
9218.481354,36823
9218.481934,36861
9218.511818,38820
9218.528000,39880
9218.548073,41196
9218.556885,41773
9218.572914,42824
9218.581902,43413
9218.604447,44890
9218.626175,46314
9218.645348,47571
9218.653679,48117
9218.677139,49654
9218.693085,50699
9218.693672,50738
9218.722130,52603
9218.729294,53072
9218.750382,54454
9218.758125,54962
9218.772347,55894
9218.793808,57300
9218.806503,58132
9218.847069,60791
9218.863495,61867
9218.873528,62525
9218.882553,63116
9218.896614,64038
9218.927818,66082
9218.956108,67936
9218.963921,68448
9218.986656,69938
9218.994011,70420
9219.007301,71291
9219.028298,72667
9219.042328,73587
9219.051476,74186
9219.082260,76204
9219.083351,76275
9219.092949,76904
9219.112282,78171
9219.119682,78656
9219.150032,80645
9219.165947,81688
9219.166527,81726
9219.177025,82414
9219.192330,83417
9219.216545,85004
9219.223923,85488
9219.232102,86024
9219.253777,87444
9219.261406,87944
9219.274849,88825
9219.290047,89821
9219.298508,90376
9219.313446,91355
9219.349098,93691
9219.358154,94285
9219.358627,94316
9219.386849,96165
9219.387360,96199
9219.414917,98005
9219.415650,98053
9219.432533,99159
9219.443962,99908
9219.464577,101259
9219.486565,102700
9219.493996,103187
9219.504578,103880
9219.521599,104996
9219.531159,105622
9219.543564,106435
9219.558792,107433
9219.576599,108600
9219.586067,109221
9219.601532,110234
9219.611252,110871
9219.620461,111475
9219.662697,114243
9219.663277,114281
9219.679161,115322
9219.695908,116419
9219.710014,117344
9219.718315,117888
9219.732819,118838
9219.754738,120275
9219.763168,120827
9219.777542,121769
9219.792069,122721
9219.809807,123884
9219.818764,124471
9219.837952,125728
9219.846428,126284
9219.866829,127621
9219.887352,128966
9219.888016,129009
9219.903595,130030
9219.929032,131697
9219.946243,132825
9219.958962,133658
9219.982590,135207
9219.989853,135683
9220.000763,136398
9220.016449,137426
9220.054344,139909
9220.063004,140477
9220.063576,140514
9220.082314,141742
9220.091293,142331
9220.118118,144089
9220.118630,144122
9220.128082,144742
9220.149063,146117
9220.171875,147612
9220.180451,148174
9220.190880,148857
9220.219101,150707
9220.219490,150732
9220.227905,151284
9220.248612,152641
9220.257645,153233
9220.283066,154899
9220.291100,155425
9220.313316,156881
9220.313820,156914
9220.350273,159303
