index,timestamp,label,duration,id,objectType,segmentLocation
44,28045.8070514505,Recording Ended,0.0,,,
297,28049.813673764955,Experiment Started,0.0,,,
297,28049.81658056427,Spawning,0.0,1,Obstacle,
330,28050.31253698517,Looking At,0.0,1,Obstacle,3
331,28050.3240726297,Looking At,0.0,1,Obstacle,3
332,28050.338125974427,Looking At,0.0,1,Obstacle,3
333,28050.34705236603,Looking At,0.0,1,Obstacle,3
335,28050.37740972687,Looking At,0.0,1,Obstacle,3
336,28050.38763311554,Looking At,0.0,1,Obstacle,3
337,28050.407812864076,Looking At,0.0,1,Obstacle,3
339,28050.426497251283,Looking At,0.0,1,Obstacle,3
340,28050.4460056131,Looking At,0.0,1,Obstacle,3
349,28050.57750585724,Intercepted,0.0,1,Obstacle,
358,28050.72269323517,Looking At,0.0,1,Obstacle,3
360,28050.749830991517,Looking At,0.0,1,Obstacle,3
360,28050.7580859964,Looking At,0.0,1,Obstacle,3
362,28050.776999265443,Looking At,0.0,1,Obstacle,3
363,28050.787054807435,Looking At,0.0,1,Obstacle,3
364,28050.79981115509,Looking At,0.0,1,Obstacle,3
399,28051.33078649689,Spawning,0.0,2,Obstacle,
411,28051.509642392884,Looking At,0.0,2,Obstacle,3
413,28051.538718015443,Looking At,0.0,2,Obstacle,3
413,28051.54682806183,Looking At,0.0,2,Obstacle,3
414,28051.55576971222,Looking At,0.0,2,Obstacle,3
415,28051.567526609193,Looking At,0.0,2,Obstacle,3
416,28051.584265500795,Looking At,0.0,2,Obstacle,3
416,28051.59395483185,Looking At,0.0,2,Obstacle,3
446,28052.034865171205,Looking At,0.0,2,Obstacle,3
447,28052.049681455384,Looking At,0.0,2,Obstacle,3
448,28052.065428525697,Looking At,0.0,2,Obstacle,3
449,28052.07614019562,Looking At,0.0,2,Obstacle,3
450,28052.0846774881,Looking At,0.0,2,Obstacle,3
450,28052.09481695343,Looking At,0.0,2,Obstacle,3
451,28052.11008337189,Looking At,0.0,2,Obstacle,3
451,28052.119978696595,Looking At,0.0,2,Obstacle,3
452,28052.128737241517,Looking At,0.0,2,Obstacle,3
452,28052.140555173646,Looking At,0.0,2,Obstacle,3
453,28052.158278257142,Looking At,0.0,2,Obstacle,3
453,28052.169356138,Looking At,0.0,2,Obstacle,3
455,28052.196097165834,Looking At,0.0,2,Obstacle,3
455,28052.20540502716,Looking At,0.0,2,Obstacle,3
456,28052.214567929994,Looking At,0.0,2,Obstacle,3
457,28052.228750974427,Looking At,0.0,2,Obstacle,3
457,28052.22905615021,Intercepted,0.0,2,Obstacle,
497,28052.839270383607,Spawning,0.0,3,Obstacle,
517,28053.124808103334,Looking At,0.0,3,Obstacle,3
518,28053.13513830353,Looking At,0.0,3,Obstacle,3
519,28053.152609617006,Looking At,0.0,3,Obstacle,3
519,28053.163908750306,Looking At,0.0,3,Obstacle,3
521,28053.1770313089,Looking At,0.0,3,Obstacle,3
537,28053.434294492494,Looking At,0.0,3,Obstacle,3
538,28053.45159795929,Looking At,0.0,3,Obstacle,3
539,28053.466101438295,Looking At,0.0,3,Obstacle,3
539,28053.474600583802,Looking At,0.0,3,Obstacle,3
540,28053.490248471986,Looking At,0.0,3,Obstacle,3
541,28053.504637510072,Looking At,0.0,3,Obstacle,3
541,28053.513029844056,Looking At,0.0,3,Obstacle,3
545,28053.582281858216,Intercepted,0.0,3,Obstacle,
595,28054.342467099916,Spawning,0.0,4,Obstacle,
614,28054.651381284486,Looking At,0.0,4,Obstacle,1
616,28054.66938665558,Looking At,0.0,4,Obstacle,1
631,28054.91743353058,Looking At,0.0,4,Obstacle,1
632,28054.931212217103,Looking At,0.0,4,Obstacle,1
633,28054.962797910463,Looking At,0.0,4,Obstacle,1
644,28055.11923101593,Looking At,0.0,4,Obstacle,1
644,28055.131834775697,Looking At,0.0,4,Obstacle,1
645,28055.143095762025,Looking At,0.0,4,Obstacle,1
646,28055.16221502472,Looking At,0.0,4,Obstacle,1
646,28055.162596494447,Intercepted,0.0,4,Obstacle,
646,28055.172102720033,Looking At,0.0,4,Obstacle,1
647,28055.181685239564,Looking At,0.0,4,Obstacle,1
647,28055.202818662416,Looking At,0.0,4,Obstacle,1
649,28055.232924253236,Looking At,0.0,4,Obstacle,1
649,28055.241896421205,Looking At,0.0,4,Obstacle,1
650,28055.251387388,Looking At,0.0,4,Obstacle,1
