# timestamps [seconds],pts
107846.398966,0
107846.407511,559
107846.416300,1135
107846.440043,2691
107846.447794,3199
107846.490763,6015
107846.509989,7275
107846.510782,7327
107846.522623,8103
107846.532877,8775
107846.554972,10223
107846.576029,11603
107846.582865,12051
107846.618815,14407
107846.626505,14911
107846.635660,15511
107846.646952,16251
107846.666178,17511
107846.674967,18087
107846.676676,18199
107846.724466,21331
107846.736246,22103
107846.752665,23179
107846.762186,23803
107846.787394,25455
107846.814127,27207
107846.826273,28003
107846.856363,29975
107846.857767,30067
107846.868143,30747
107846.878458,31423
107846.897745,32687
107846.908182,33371
107846.915812,33871
107846.956949,36567
107846.968973,37355
107846.979960,38075
107846.996866,39183
107847.005900,39775
107847.026896,41151
107847.077128,44443
107847.087626,45131
107847.088907,45215
107847.135599,48275
107847.148050,49091
107847.158243,49759
107847.178873,51111
107847.188395,51735
107847.217447,53639
107847.236124,54863
107847.245890,55503
107847.256327,56187
107847.276774,57527
107847.286112,58139
107847.294718,58703
107847.327738,60867
107847.355631,62695
107847.374491,63931
107847.375651,64007
107847.387064,64755
107847.413736,66502
107847.414652,66562
107847.424296,67194
107847.434305,67850
107847.462809,69718
107847.463724,69778
107847.473978,70450
107847.506205,72562
107847.523722,73710
107847.533549,74354
107847.542093,74914
107847.551188,75510
107847.568339,76634
107847.576822,77190
107847.595926,78442
107847.610697,79410
107847.646097,81730
107847.646769,81774
107847.663798,82890
107847.683390,84174
107847.692789,84790
107847.701883,85386
107847.718912,86502
107847.735209,87570
107847.744242,88162
107847.765482,89554
107847.775004,90178
107847.797953,91682
107847.808207,92354
107847.819315,93082
107847.844340,94722
107847.846110,94838
107847.864054,96014
107847.875223,96746
107847.894205,97990
107847.905314,98718
107847.916239,99434
107847.932108,100474
107847.960062,102306
107847.967753,102810
107847.988627,104178
107848.006693,105362
107848.016581,106010
107848.018229,106118
107848.029276,106842
107848.048075,108074
107848.057718,108706
107848.076151,109914
107848.092570,110990
107848.101053,111546
107848.120463,112818
107848.132609,113614
107848.148478,114654
107848.165568,115774
107848.177225,116538
107848.192484,117538
107848.217081,119150
107848.226420,119762
107848.227213,119814
107848.254069,121574
107848.256083,121706
107848.265665,122334
107848.281717,123386
107848.305704,124958
107848.313456,125466
107848.344340,127490
107848.355387,128214
107848.373575,129406
107848.381510,129926
107848.382303,129978
107848.400248,131153
107848.419901,132441
107848.428263,132989
107848.429239,133053
107848.438578,133665
107848.472452,135885
107848.478312,136269
107848.495463,137393
107848.496622,137469
107848.517374,138829
107848.533549,139889
107848.559000,141557
107848.567728,142129
107848.585123,143269
107848.593058,143789
107848.594523,143885
107848.623820,145805
107848.624430,145845
107848.634440,146501
107848.642801,147049
107848.659098,148117
107848.690653,150185
107848.713175,151661
107848.723978,152369
107848.741312,153505
107848.749674,154053
107848.758768,154649
107848.769327,155341
107848.788065,156569
107848.796305,157109
107848.797342,157177
107848.814737,158317
107848.837748,159825
107848.838541,159877
107848.858317,161173
107848.878397,162489
107848.885599,162961
107848.886515,163021
107848.903483,164133
107848.940897,166585
107848.958903,167765
107848.969706,168473
107848.987650,169649
107848.996561,170233
107848.997538,170297
107849.017069,171577
107849.025431,172125
107849.041483,173177
107849.068033,174917
107849.075785,175425
107849.093485,176585
107849.114725,177977
107849.137430,179465
107849.148539,180193
107849.165140,181281
107849.190592,182949
107849.199198,183513
107849.200174,183577
107849.228922,185461
107849.230082,185537
107849.239969,186185
107849.260599,187537
107849.276224,188561
107849.286234,189217
107849.294962,189789
107849.313944,191033
107849.321940,191557
107849.323282,191645
107849.333048,192285
107849.361063,194121
107849.361735,194165
107849.384073,195629
107849.402445,196832
107849.410868,197384
107849.411722,197440
107849.429911,198632
107849.452128,200088
107849.469828,201248
107849.477335,201740
107849.494303,202852
107849.513163,204088
107849.520853,204592
107849.539469,205812
107849.562052,207292
107849.577067,208276
107849.584940,208792
107849.595804,209504
107849.615702,210808
107849.625590,211456
107849.633097,211948
107849.650858,213112
107849.666239,214120
107849.685038,215352
107849.696451,216100
107849.725199,217984
107849.748392,219504
107849.749247,219560
107849.759073,220204
107849.779642,221552
107849.789652,222208
107849.798075,222760
107849.818766,224116
107849.841837,225628
107849.852335,226316
107849.863444,227044
107849.887980,228652
107849.888590,228692
107849.908060,229968
107849.919596,230724
107849.943705,232304
107849.944620,232364
107849.965494,233732
107849.975199,234368
107849.999613,235968
107850.000284,236012
107850.019816,237292
107850.031656,238068
107850.053202,239480
107850.073832,240832
107850.082438,241396
